Date,02T,03T,05T,10T,11T,12T,59T,61T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,46T,47T,60T,62T,63T,44T,57T,58T,67T,68T,69T,70T,71T,72T,73T,74T,75T,76T,77T
3/25/2016,43,47,N/A,54,51,59,49,51,N/A,N/A,N/A,61,N/A,46,45,N/A,41,N/A,54,N/A,61,74,155,98,N/A,47,69,54,42,45,64,57,52,187,209,139,139,153,180,125,55,36,64,75,55,32,38,45,177,227,123,144,170,187,77,68,198,46,57,N/A,N/A
3/26/2016,51,55,N/A,63,52,67,54,61,N/A,N/A,N/A,74,N/A,58,44,N/A,49,71,67,N/A,78,78,N/A,106,50,46,67,61,37,N/A,56,67,60,112,134,122,94,95,125,76,52,10,49,56,61,45,44,40,79,183,78,99,105,102,86,55,93,52,55,N/A,N/A
3/27/2016,38,40,N/A,51,41,51,42,47,N/A,N/A,N/A,77,N/A,43,36,N/A,39,N/A,48,N/A,55,65,N/A,97,51,36,61,68,59,N/A,46,58,51,94,106,100,79,91,104,74,40,16,55,63,62,49,47,41,113,169,97,83,119,113,90,61,117,51,61,N/A,N/A
3/28/2016,66,79,N/A,70,60,75,66,71,N/A,N/A,N/A,94,N/A,78,61,N/A,58,N/A,73,N/A,74,86,N/A,100,70,63,89,83,54,N/A,71,76,72,78,94,104,87,90,106,79,53,23,65,69,77,56,55,49,87,173,99,68,101,96,80,71,84,68,64,N/A,N/A
3/29/2016,46,53,N/A,65,59,53,61,63,N/A,N/A,N/A,81,N/A,67,44,N/A,42,N/A,53,N/A,79,99,133,111,64,40,83,72,62,N/A,63,70,66,82,88,86,91,89,86,82,60,36,74,97,76,81,72,64,90,150,107,61,97,80,101,94,116,57,94,N/A,N/A
3/30/2016,47,65,N/A,66,56,65,52,55,N/A,N/A,N/A,74,N/A,55,61,N/A,48,N/A,50,N/A,63,75,103,72,63,53,81,83,53,56,61,66,58,95,107,85,91,84,83,69,63,45,107,96,N/A,83,71,67,123,152,100,71,81,115,82,94,156,70,90,N/A,N/A
3/31/2016,53,76,N/A,69,60,71,58,63,N/A,N/A,N/A,81,N/A,62,54,N/A,58,N/A,62,N/A,62,76,96,80,63,64,88,79,N/A,69,68,69,65,119,127,97,85,98,99,79,70,51,124,86,N/A,60,66,64,149,146,85,74,87,124,87,51,205,75,90,N/A,N/A
4/1/2016,47,63,N/A,59,52,60,51,54,N/A,N/A,N/A,71,N/A,48,50,N/A,48,N/A,47,N/A,63,68,96,83,58,53,79,59,26,50,57,59,54,83,88,77,63,98,69,53,47,29,64,77,68,36,44,47,117,128,64,57,78,74,76,40,211,53,104,N/A,N/A
4/2/2016,36,45,N/A,49,42,50,38,39,N/A,N/A,N/A,58,N/A,39,41,N/A,34,N/A,41,N/A,48,54,85,65,61,43,65,45,29,37,43,49,44,69,92,60,46,59,56,64,31,N/A,57,70,44,34,42,38,87,119,51,62,51,58,55,44,176,38,105,N/A,N/A
4/3/2016,29,33,N/A,42,37,34,28,31,N/A,N/A,N/A,42,N/A,34,23,N/A,26,N/A,30,N/A,40,46,77,63,42,25,59,41,29,32,33,42,33,99,118,85,66,78,88,56,31,N/A,58,69,46,39,38,35,117,153,94,85,82,91,48,50,175,44,116,N/A,N/A
4/4/2016,34,35,N/A,40,35,38,33,33,N/A,N/A,N/A,41,N/A,34,22,N/A,28,N/A,32,N/A,N/A,50,59,61,41,27,52,38,25,31,38,40,36,101,121,95,82,99,101,59,33,N/A,65,57,46,37,44,39,145,N/A,119,78,91,105,41,60,267,37,153,N/A,N/A
4/5/2016,35,32,N/A,31,31,39,29,30,N/A,N/A,N/A,43,N/A,35,24,N/A,28,N/A,28,N/A,N/A,48,68,60,41,34,45,31,21,26,36,31,35,105,121,101,82,101,104,57,34,N/A,60,53,39,33,42,44,133,110,103,83,89,115,28,76,254,34,166,N/A,N/A
4/6/2016,31,40,N/A,36,40,39,34,35,N/A,N/A,N/A,N/A,N/A,39,32,N/A,33,N/A,32,N/A,N/A,51,65,62,43,31,51,31,23,26,38,36,36,107,121,103,88,106,101,75,38,N/A,65,58,39,36,41,34,158,97,135,85,115,134,37,88,246,35,191,N/A,N/A
4/7/2016,32,36,N/A,36,37,42,35,36,N/A,N/A,N/A,N/A,N/A,37,29,N/A,30,N/A,32,N/A,N/A,55,70,67,51,36,50,33,24,30,43,36,38,124,143,137,112,138,138,78,41,N/A,72,49,54,32,43,41,124,134,204,109,122,147,41,98,123,33,164,N/A,N/A
4/8/2016,30,25,N/A,32,33,38,32,32,N/A,N/A,N/A,N/A,N/A,32,25,N/A,29,N/A,32,N/A,40,46,58,57,43,27,44,36,18,29,39,32,34,118,131,122,108,119,106,57,39,N/A,76,62,46,32,38,46,202,143,157,99,98,137,45,90,184,29,233,N/A,N/A
4/9/2016,25,21,N/A,25,29,33,26,27,N/A,N/A,N/A,N/A,N/A,28,22,N/A,23,N/A,28,N/A,41,43,61,57,38,22,43,31,29,28,37,25,32,105,128,101,81,101,99,63,38,21,63,56,43,30,37,43,115,109,107,89,81,116,33,69,98,34,181,N/A,N/A
4/10/2016,28,29,N/A,27,33,35,34,31,N/A,N/A,N/A,48,N/A,39,28,N/A,29,N/A,30,N/A,45,48,59,59,46,34,49,30,19,26,33,27,33,88,114,101,76,96,95,70,37,22,72,52,39,33,38,39,90,92,89,84,90,86,40,89,90,35,N/A,N/A,N/A
4/11/2016,37,44,N/A,39,47,51,48,47,N/A,N/A,N/A,53,N/A,53,36,N/A,40,N/A,47,N/A,54,62,69,74,63,49,54,44,31,42,48,39,42,92,112,100,72,97,101,77,44,23,82,69,48,40,44,45,111,98,111,84,94,103,42,99,158,44,N/A,N/A,N/A
4/12/2016,N/A,61,N/A,56,58,59,60,57,N/A,N/A,N/A,76,N/A,63,49,N/A,53,N/A,63,N/A,62,69,76,77,76,61,72,72,51,68,61,56,57,104,124,102,90,96,99,81,46,27,86,63,62,54,40,52,156,90,110,86,97,123,52,96,310,54,114,N/A,N/A
4/13/2016,N/A,64,N/A,59,56,61,58,61,N/A,N/A,N/A,74,N/A,61,48,N/A,55,N/A,68,N/A,67,76,87,89,68,62,75,77,63,70,64,59,63,96,107,102,87,90,94,88,51,19,83,98,66,46,47,54,N/A,80,119,75,99,117,78,97,297,69,156,N/A,N/A
4/14/2016,54,61,N/A,59,59,60,59,59,N/A,N/A,N/A,74,N/A,63,43,N/A,51,N/A,68,N/A,63,75,83,88,66,57,80,78,63,77,59,59,62,88,102,82,79,90,87,83,49,17,83,71,66,51,51,45,N/A,74,109,70,103,116,72,97,271,68,155,N/A,N/A
4/15/2016,45,47,N/A,53,44,51,46,50,N/A,N/A,N/A,63,N/A,49,33,N/A,43,N/A,59,N/A,54,67,71,77,61,48,71,57,47,60,54,53,54,91,109,106,105,92,99,74,44,17,77,68,58,55,54,58,N/A,98,133,77,96,113,68,90,245,44,165,N/A,N/A
4/16/2016,43,42,N/A,50,43,48,46,45,N/A,N/A,N/A,65,N/A,47,26,N/A,38,N/A,51,N/A,52,63,63,70,53,41,64,53,40,51,47,50,48,126,132,104,92,107,113,68,43,27,68,62,56,49,N/A,61,N/A,94,141,82,89,173,65,90,320,47,225,N/A,N/A
4/17/2016,40,38,N/A,46,45,44,41,39,N/A,N/A,N/A,N/A,N/A,41,26,N/A,37,N/A,44,N/A,48,59,63,66,52,38,61,46,37,45,44,46,44,133,156,119,78,104,106,62,47,24,71,69,51,48,N/A,66,N/A,122,114,106,80,125,63,68,289,42,222,N/A,N/A
4/18/2016,34,34,N/A,41,32,42,38,38,N/A,N/A,N/A,N/A,N/A,40,35,N/A,32,N/A,42,N/A,46,59,58,65,49,39,59,48,33,43,45,41,40,173,192,130,103,115,112,62,44,19,66,62,46,41,N/A,57,280,132,135,118,90,174,52,89,267,40,293,N/A,N/A
4/19/2016,29,25,N/A,40,24,35,27,30,N/A,N/A,N/A,N/A,N/A,33,19,N/A,26,N/A,36,N/A,38,55,71,65,46,26,54,39,29,32,46,40,43,N/A,154,100,83,83,82,52,39,19,73,63,44,35,N/A,34,210,117,98,99,82,106,51,82,222,44,128,N/A,N/A
4/20/2016,24,19,N/A,33,28,25,25,25,N/A,N/A,N/A,N/A,N/A,29,19,N/A,23,N/A,26,N/A,41,46,61,55,40,22,50,34,24,32,33,33,31,123,143,88,53,69,69,53,31,13,62,54,41,38,33,33,123,99,63,86,68,91,56,73,107,32,64,N/A,N/A
4/21/2016,26,27,N/A,36,32,N/A,26,28,N/A,N/A,N/A,N/A,N/A,36,22,N/A,26,N/A,35,N/A,39,46,53,56,43,27,51,42,32,42,44,36,33,129,140,97,73,103,93,61,36,18,49,37,36,37,44,40,113,78,73,81,79,88,34,51,147,42,82,N/A,N/A
4/22/2016,N/A,42,N/A,37,41,N/A,43,42,N/A,N/A,N/A,N/A,N/A,48,31,N/A,43,N/A,35,N/A,42,58,58,67,52,38,56,42,30,39,42,37,37,99,105,83,70,80,76,52,42,22,60,54,46,35,47,43,111,64,74,64,84,94,61,53,129,54,89,N/A,N/A
4/23/2016,N/A,41,N/A,37,37,N/A,38,39,N/A,N/A,N/A,N/A,N/A,41,35,N/A,38,N/A,37,N/A,42,58,55,69,46,39,62,39,46,37,45,37,42,82,102,69,59,61,69,68,39,17,58,49,44,37,49,43,76,50,74,54,78,80,53,77,96,34,86,N/A,N/A
4/24/2016,N/A,34,N/A,30,36,N/A,35,33,N/A,N/A,N/A,N/A,N/A,41,30,N/A,31,N/A,29,N/A,41,53,53,65,42,34,51,31,21,29,33,30,32,69,74,68,58,77,70,64,37,17,61,48,36,40,50,52,81,53,73,51,69,76,38,87,88,38,95,N/A,N/A
4/25/2016,N/A,30,N/A,40,37,N/A,34,37,N/A,N/A,N/A,N/A,N/A,42,25,N/A,31,N/A,36,N/A,45,50,60,67,44,31,51,38,24,36,41,40,41,81,86,81,68,84,77,67,37,16,67,50,45,37,50,52,61,52,79,59,81,81,35,N/A,62,41,79,N/A,N/A
4/26/2016,N/A,30,N/A,36,34,N/A,36,36,N/A,N/A,N/A,N/A,N/A,42,28,N/A,31,N/A,33,N/A,51,59,62,68,50,31,50,32,33,32,42,36,37,98,107,93,78,85,87,73,43,22,72,61,N/A,42,50,45,85,81,76,85,80,86,107,N/A,62,31,101,N/A,N/A
4/27/2016,N/A,42,N/A,38,46,N/A,48,46,N/A,N/A,N/A,N/A,N/A,52,35,N/A,42,N/A,45,N/A,52,66,62,70,N/A,39,56,48,N/A,36,43,38,44,125,144,122,100,105,101,77,57,23,70,60,N/A,57,61,47,106,113,97,93,95,107,96,N/A,113,35,131,N/A,N/A
4/28/2016,N/A,39,N/A,N/A,44,N/A,45,44,N/A,N/A,N/A,N/A,N/A,45,38,N/A,37,N/A,44,N/A,53,62,73,70,54,46,59,N/A,N/A,N/A,49,N/A,46,126,134,N/A,114,117,105,68,54,N/A,82,65,N/A,59,71,60,140,100,106,107,97,118,62,N/A,164,42,167,N/A,N/A
4/29/2016,N/A,35,N/A,N/A,44,N/A,43,41,N/A,N/A,N/A,N/A,N/A,42,27,N/A,33,N/A,39,N/A,53,65,68,66,52,36,45,39,47,33,37,N/A,39,70,77,80,47,N/A,69,67,39,27,86,65,42,55,50,72,65,N/A,77,67,65,75,53,N/A,85,37,95,N/A,N/A
4/30/2016,N/A,32,N/A,36,29,N/A,29,29,N/A,N/A,N/A,N/A,N/A,32,30,N/A,24,N/A,30,N/A,32,48,61,37,41,33,44,37,17,31,N/A,40,30,53,58,47,38,34,55,37,35,31,31,37,40,49,52,53,47,74,30,61,55,47,42,N/A,75,29,33,N/A,N/A
5/1/2016,N/A,34,N/A,34,33,N/A,28,32,N/A,N/A,N/A,N/A,N/A,35,26,N/A,25,N/A,32,N/A,36,50,66,54,39,41,46,41,33,35,N/A,34,32,38,41,34,33,32,36,53,33,26,31,35,29,43,48,48,34,48,46,38,43,31,39,N/A,34,32,38,N/A,N/A
5/2/2016,N/A,14,N/A,26,23,N/A,20,20,N/A,N/A,N/A,N/A,N/A,25,18,N/A,16,N/A,24,N/A,35,35,53,47,39,15,44,32,61,22,N/A,26,22,39,42,53,41,39,53,49,32,27,44,45,30,49,53,41,27,35,36,44,55,35,34,N/A,N/A,29,31,N/A,N/A
5/3/2016,N/A,17,N/A,27,31,N/A,23,24,N/A,N/A,N/A,N/A,N/A,30,19,N/A,21,N/A,34,N/A,26,37,55,47,40,16,45,35,47,23,N/A,27,28,58,61,55,52,50,55,50,36,24,49,49,35,48,48,45,51,N/A,41,62,67,49,41,N/A,42,37,42,N/A,N/A
5/4/2016,N/A,15,N/A,27,26,N/A,19,20,N/A,N/A,N/A,N/A,N/A,25,23,N/A,20,N/A,25,N/A,N/A,33,61,46,31,14,41,34,15,23,N/A,N/A,24,68,80,71,58,55,61,46,40,25,61,54,30,66,37,44,69,60,47,65,N/A,54,29,N/A,37,30,52,N/A,N/A
5/5/2016,N/A,19,N/A,30,24,N/A,19,20,N/A,N/A,N/A,N/A,N/A,26,23,N/A,22,N/A,26,N/A,N/A,33,55,46,41,20,40,37,22,20,N/A,N/A,25,57,75,85,70,62,78,55,N/A,12,35,51,30,37,37,27,65,53,69,75,77,73,36,N/A,53,32,72,N/A,N/A
5/6/2016,N/A,14,N/A,24,26,N/A,22,24,N/A,N/A,N/A,N/A,N/A,29,19,N/A,22,N/A,26,N/A,N/A,43,60,55,41,17,41,33,13,18,N/A,N/A,23,64,77,91,73,61,82,61,N/A,13,47,37,27,31,34,47,61,54,78,75,86,69,34,N/A,56,25,70,N/A,N/A
5/7/2016,N/A,14,N/A,22,26,N/A,23,23,N/A,N/A,N/A,N/A,N/A,28,13,N/A,25,N/A,30,N/A,N/A,43,62,47,37,13,43,29,18,20,N/A,N/A,26,71,81,90,79,64,80,54,25,13,55,46,34,33,36,40,77,58,N/A,74,86,72,35,N/A,63,28,84,N/A,N/A
5/8/2016,N/A,16,N/A,15,19,N/A,17,20,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,16,N/A,21,N/A,N/A,32,43,42,41,13,41,29,18,18,17,N/A,18,85,88,88,77,74,82,54,29,14,43,29,29,31,28,42,90,89,126,72,75,76,32,N/A,78,36,103,N/A,N/A
5/9/2016,N/A,15,N/A,16,25,N/A,16,18,N/A,N/A,N/A,N/A,N/A,28,N/A,N/A,17,N/A,25,N/A,N/A,33,42,44,37,28,40,31,16,20,N/A,N/A,19,74,79,88,76,67,76,56,26,15,44,35,30,38,43,56,85,N/A,83,65,67,70,48,N/A,76,30,90,N/A,N/A
5/10/2016,N/A,10,N/A,15,22,N/A,19,19,N/A,N/A,N/A,N/A,N/A,24,N/A,N/A,16,N/A,22,N/A,N/A,33,53,46,33,16,40,35,N/A,19,19,N/A,19,76,77,79,74,63,70,57,29,21,60,39,24,56,55,46,91,73,79,61,66,72,26,N/A,88,26,92,N/A,N/A
5/11/2016,N/A,17,N/A,24,33,25,29,25,N/A,N/A,N/A,N/A,N/A,33,N/A,N/A,24,N/A,N/A,N/A,N/A,44,79,49,23,23,42,28,39,22,22,N/A,27,86,90,92,65,67,81,53,30,22,72,40,30,46,55,61,84,84,90,73,72,68,26,N/A,90,38,122,N/A,N/A
5/12/2016,N/A,35,N/A,30,33,38,34,35,N/A,N/A,N/A,N/A,N/A,35,N/A,N/A,31,N/A,32,N/A,N/A,51,62,54,26,38,41,32,40,26,24,N/A,31,79,83,100,76,68,88,63,29,20,54,37,30,49,45,39,84,85,86,66,67,75,29,N/A,67,42,91,N/A,N/A
5/13/2016,N/A,34,N/A,27,31,34,31,34,N/A,N/A,N/A,N/A,N/A,36,27,N/A,30,N/A,34,N/A,N/A,55,54,48,36,31,43,34,44,28,27,N/A,31,69,70,90,66,60,77,46,31,18,36,N/A,26,56,48,N/A,77,65,59,56,61,69,38,N/A,77,26,79,N/A,N/A
5/14/2016,N/A,36,N/A,28,41,33,31,32,N/A,N/A,N/A,N/A,N/A,45,29,N/A,29,N/A,26,N/A,25,50,66,43,18,26,52,38,49,29,32,46,28,48,55,47,40,40,43,26,26,21,14,N/A,27,54,37,N/A,44,67,34,45,40,33,41,N/A,39,32,19,N/A,N/A
5/15/2016,N/A,19,N/A,25,25,24,23,29,N/A,N/A,N/A,N/A,N/A,37,15,N/A,23,N/A,31,N/A,24,41,76,45,22,13,47,40,47,29,20,32,23,N/A,48,44,36,29,42,34,31,17,22,N/A,30,N/A,46,N/A,29,62,30,46,36,29,32,N/A,27,34,20,N/A,N/A
5/16/2016,N/A,50,N/A,42,41,53,44,52,N/A,N/A,N/A,N/A,N/A,51,33,N/A,38,N/A,58,N/A,36,55,138,57,37,27,49,58,59,44,31,45,44,N/A,41,43,35,32,40,40,31,13,23,N/A,30,N/A,40,51,42,60,31,33,38,25,48,N/A,39,44,23,N/A,N/A
5/17/2016,N/A,31,N/A,42,42,40,38,47,N/A,N/A,N/A,64,N/A,47,28,N/A,28,N/A,42,N/A,33,58,95,53,25,38,44,39,46,31,28,36,37,N/A,34,34,26,N/A,34,35,29,14,32,N/A,38,37,40,45,24,43,32,30,34,N/A,45,N/A,26,36,24,N/A,N/A
5/18/2016,N/A,18,N/A,23,25,30,23,27,N/A,N/A,N/A,46,N/A,27,14,N/A,24,N/A,21,N/A,27,42,41,34,25,13,35,30,34,22,21,28,23,N/A,N/A,31,34,54,N/A,48,19,15,26,N/A,23,23,31,45,26,37,23,24,37,N/A,34,N/A,28,31,N/A,N/A,N/A
5/19/2016,N/A,21,N/A,22,30,28,22,26,N/A,N/A,N/A,39,N/A,33,18,N/A,24,N/A,19,N/A,27,39,91,46,26,19,43,35,36,29,25,31,22,N/A,28,27,22,54,N/A,32,21,16,35,N/A,27,20,26,42,24,19,36,24,31,22,25,N/A,27,34,26,N/A,N/A
5/20/2016,N/A,25,N/A,21,25,18,20,21,N/A,N/A,N/A,37,N/A,28,19,N/A,23,N/A,32,N/A,15,35,65,31,23,23,38,25,42,25,15,32,21,N/A,16,17,16,28,19,24,21,15,20,N/A,27,22,25,N/A,16,10,16,15,18,11,25,N/A,27,38,19,N/A,N/A
5/21/2016,N/A,24,N/A,13,18,12,14,17,N/A,N/A,N/A,37,N/A,20,11,N/A,16,N/A,26,N/A,7,28,64,34,16,21,35,19,41,24,17,26,27,N/A,18,17,23,28,20,17,23,16,N/A,N/A,24,30,19,N/A,18,13,21,14,22,11,38,N/A,31,28,13,N/A,N/A
5/22/2016,N/A,22,N/A,14,18,13,16,14,N/A,N/A,N/A,31,N/A,23,15,N/A,17,N/A,21,N/A,9,25,31,33,17,20,34,23,39,17,10,23,17,N/A,19,13,18,40,N/A,17,25,22,N/A,N/A,N/A,35,18,N/A,21,12,28,17,21,14,28,N/A,32,26,15,N/A,N/A
5/23/2016,N/A,37,N/A,20,21,21,20,24,N/A,N/A,N/A,28,N/A,25,24,N/A,22,N/A,22,N/A,17,37,42,42,21,30,38,23,41,N/A,17,28,N/A,N/A,27,19,24,39,27,25,20,17,N/A,N/A,N/A,33,20,N/A,28,21,25,24,29,16,28,N/A,29,36,18,N/A,N/A
5/24/2016,N/A,24,N/A,23,32,24,23,27,N/A,N/A,N/A,40,N/A,32,39,N/A,21,N/A,23,N/A,25,43,53,50,28,24,N/A,25,30,N/A,31,31,44,N/A,30,31,22,43,31,34,9,24,N/A,N/A,N/A,33,28,N/A,34,20,32,28,35,20,43,N/A,36,38,22,N/A,N/A
5/25/2016,N/A,34,N/A,27,29,26,23,29,N/A,N/A,N/A,34,N/A,27,26,N/A,28,N/A,28,N/A,21,40,43,50,N/A,29,N/A,26,23,N/A,37,40,N/A,N/A,32,29,27,45,N/A,29,14,24,N/A,N/A,N/A,35,31,37,41,19,28,26,25,17,33,N/A,32,40,25,N/A,N/A
5/26/2016,27,23,N/A,22,29,25,23,27,N/A,N/A,N/A,41,N/A,29,21,N/A,20,N/A,20,N/A,22,36,41,48,N/A,20,N/A,30,29,35,30,37,30,N/A,39,39,33,58,N/A,38,17,29,N/A,N/A,32,28,19,31,35,29,N/A,34,40,24,38,N/A,16,39,26,N/A,N/A
5/27/2016,32,27,N/A,26,26,26,24,28,N/A,N/A,N/A,43,N/A,33,28,N/A,28,N/A,30,N/A,25,N/A,45,50,31,29,39,31,30,35,30,36,33,28,42,49,42,83,N/A,44,23,23,N/A,N/A,33,24,23,39,36,33,N/A,40,55,35,36,N/A,N/A,40,34,N/A,N/A
5/28/2016,N/A,35,N/A,24,30,28,26,28,N/A,N/A,N/A,39,N/A,32,28,N/A,28,N/A,24,N/A,24,N/A,48,62,35,28,31,29,N/A,28,33,28,35,32,36,39,48,63,51,36,17,16,N/A,N/A,32,17,30,46,41,33,N/A,30,38,30,34,65,N/A,40,33,N/A,N/A
5/29/2016,N/A,33,N/A,27,32,28,28,31,N/A,N/A,N/A,42,N/A,36,28,N/A,29,N/A,N/A,N/A,31,N/A,54,N/A,36,34,36,38,24,33,31,28,43,25,31,30,30,52,48,40,17,19,N/A,N/A,35,25,19,31,27,45,N/A,27,33,15,41,50,N/A,43,19,N/A,N/A
5/30/2016,25,34,N/A,35,36,37,33,39,N/A,N/A,N/A,44,N/A,36,32,N/A,30,N/A,42,N/A,32,N/A,69,N/A,36,32,38,43,52,39,37,41,41,23,33,26,24,46,31,37,22,22,N/A,46,31,24,18,36,26,28,N/A,22,28,21,35,44,N/A,39,20,N/A,N/A
5/31/2016,16,19,N/A,24,25,30,24,25,N/A,N/A,N/A,51,N/A,29,21,N/A,24,N/A,37,N/A,18,N/A,66,28,32,31,23,39,48,28,28,27,38,20,24,26,20,33,23,33,22,27,N/A,50,24,18,23,32,25,18,N/A,20,23,16,26,43,N/A,35,18,N/A,N/A
6/1/2016,N/A,10,N/A,22,25,34,22,25,N/A,N/A,N/A,51,N/A,29,23,N/A,20,N/A,28,N/A,15,N/A,63,18,28,11,21,29,30,18,23,23,38,N/A,21,19,21,31,19,33,27,29,N/A,44,25,19,32,39,22,N/A,18,18,23,12,23,44,N/A,31,19,26,21
6/2/2016,N/A,19,N/A,18,26,23,19,20,N/A,N/A,N/A,44,N/A,31,20,N/A,21,N/A,24,N/A,17,N/A,60,23,25,25,27,30,20,23,22,30,N/A,N/A,20,10,20,35,14,28,19,16,N/A,39,25,22,28,39,16,17,27,14,32,12,21,46,23,27,23,20,20
6/3/2016,N/A,25,N/A,15,24,27,20,20,N/A,N/A,N/A,36,N/A,36,24,N/A,19,N/A,24,N/A,21,N/A,51,18,27,20,22,33,28,20,20,N/A,35,N/A,N/A,21,21,38,N/A,26,22,24,N/A,36,25,17,24,37,20,29,20,15,22,16,33,30,25,35,16,N/A,19
6/4/2016,N/A,22,N/A,21,23,35,23,23,N/A,N/A,N/A,53,N/A,29,24,N/A,24,36,21,N/A,32,34,44,25,31,17,20,29,23,24,22,N/A,34,N/A,22,16,25,39,N/A,20,31,31,N/A,33,N/A,27,33,49,15,32,16,13,20,7,21,41,20,44,14,N/A,18
6/5/2016,N/A,28,N/A,21,26,24,23,25,N/A,N/A,N/A,42,N/A,22,22,N/A,22,36,27,N/A,21,32,38,34,28,25,32,33,57,25,21,N/A,28,N/A,23,11,15,26,23,19,33,27,N/A,N/A,N/A,29,42,50,19,N/A,21,13,21,8,28,36,26,33,16,N/A,23
6/6/2016,N/A,29,N/A,28,31,28,23,31,N/A,N/A,N/A,46,N/A,34,27,N/A,26,44,28,N/A,22,36,60,29,32,25,25,39,28,30,28,N/A,28,N/A,22,11,15,29,21,16,28,27,N/A,N/A,25,37,39,51,18,9,20,11,21,8,25,42,29,36,15,N/A,20
6/7/2016,N/A,27,N/A,20,27,24,21,25,N/A,N/A,N/A,36,N/A,22,28,N/A,21,35,25,N/A,13,38,91,42,29,22,24,41,42,30,23,31,29,N/A,23,N/A,20,35,25,28,28,33,N/A,N/A,28,30,31,42,16,9,22,10,22,10,20,49,25,37,15,N/A,24
6/8/2016,N/A,30,N/A,24,23,25,21,26,N/A,N/A,N/A,45,N/A,31,27,N/A,24,48,35,N/A,N/A,42,44,40,30,27,29,37,56,29,26,N/A,26,N/A,23,N/A,12,38,22,19,28,32,N/A,N/A,N/A,29,38,47,20,12,22,10,19,10,26,33,22,40,13,N/A,32
6/9/2016,N/A,39,N/A,19,27,22,28,25,N/A,N/A,N/A,32,N/A,29,40,N/A,24,45,31,N/A,N/A,35,37,43,30,38,40,33,35,30,25,41,29,N/A,28,8,14,29,25,17,30,32,N/A,N/A,31,34,37,40,12,11,20,10,23,9,32,39,28,36,15,8,34
6/10/2016,25,36,N/A,22,29,26,26,27,N/A,N/A,N/A,50,N/A,37,35,N/A,28,41,33,N/A,N/A,40,67,44,33,31,34,35,28,N/A,26,33,26,15,26,12,11,30,31,20,27,N/A,N/A,38,27,33,34,46,13,14,28,12,23,9,29,32,29,41,14,7,34
6/11/2016,26,32,N/A,27,27,25,24,26,N/A,N/A,N/A,45,N/A,33,28,N/A,29,44,32,N/A,N/A,40,38,37,31,28,33,36,30,30,26,29,30,12,21,15,18,29,28,20,26,N/A,N/A,33,23,26,25,45,13,9,23,13,21,7,24,46,25,N/A,11,4,22
6/12/2016,19,24,N/A,N/A,28,20,19,24,N/A,N/A,N/A,35,N/A,30,24,N/A,20,34,25,N/A,N/A,45,N/A,36,28,19,31,30,27,27,22,35,23,18,34,24,22,31,35,14,23,N/A,N/A,30,28,19,20,38,19,15,20,19,21,13,27,47,27,32,14,7,22
6/13/2016,20,28,N/A,N/A,24,19,17,19,N/A,N/A,N/A,26,N/A,29,25,N/A,20,30,21,N/A,N/A,37,N/A,40,26,20,28,27,20,23,25,25,26,19,28,15,21,36,30,16,21,N/A,N/A,33,25,19,21,44,19,16,48,16,24,10,22,44,33,24,13,9,21
6/14/2016,17,25,N/A,N/A,22,16,16,16,N/A,N/A,N/A,31,N/A,33,28,N/A,21,27,24,N/A,15,34,N/A,33,23,21,27,24,19,20,23,19,28,17,28,12,14,30,26,19,15,14,N/A,32,23,17,16,35,13,12,21,N/A,20,6,22,44,24,25,12,13,22
6/15/2016,24,17,N/A,11,22,20,16,16,N/A,N/A,N/A,34,N/A,26,23,N/A,20,32,24,N/A,17,36,N/A,32,26,13,24,26,19,19,22,18,31,15,27,10,11,26,28,19,17,11,N/A,29,22,14,20,25,17,15,20,N/A,17,7,21,43,31,24,14,9,17
6/16/2016,18,20,N/A,14,23,18,19,21,N/A,N/A,N/A,43,N/A,29,24,N/A,17,37,24,N/A,13,37,30,20,30,19,16,31,19,25,18,19,22,16,19,14,20,32,35,23,19,12,N/A,21,13,12,22,32,18,13,20,N/A,21,8,16,45,31,25,13,13,12
6/17/2016,22,19,N/A,11,22,30,19,20,N/A,N/A,N/A,59,N/A,27,17,N/A,23,42,33,N/A,12,36,32,14,30,32,17,24,19,19,15,21,29,17,41,13,24,23,17,21,18,16,N/A,22,12,16,16,33,21,14,20,N/A,24,11,18,38,37,30,15,9,13
6/18/2016,26,32,N/A,N/A,25,38,22,24,N/A,N/A,N/A,61,N/A,33,34,N/A,26,54,27,N/A,15,40,57,20,35,29,16,25,20,23,22,20,26,14,21,11,14,31,34,21,26,20,N/A,37,17,17,24,39,21,13,14,N/A,17,5,21,38,32,24,10,8,14
6/19/2016,26,26,N/A,N/A,27,27,23,32,N/A,N/A,N/A,43,N/A,26,23,N/A,20,43,22,N/A,34,50,62,35,33,18,27,38,31,28,21,30,24,14,20,13,14,24,39,40,20,12,N/A,36,32,19,30,39,16,12,17,N/A,19,6,26,46,36,34,10,12,28
