Date,02T,03T,05T,10T,11T,12T,59T,61T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,46T,47T,60T,62T,63T,44T,57T,58T,67T,68T,69T,70T,71T,72T,73T,74T,75T,76T,77T
1/20/2016,N/A,26,28,29,28,36,25,22,N/A,13,17,46,N/A,29,17,N/A,29,45,33,N/A,36,47,74,40,28,21,42,26,34,39,44,N/A,36,71,92,103,98,64,104,46,28,N/A,27,36,35,28,22,27,66,44,50,95,76,67,N/A,43,42,37,41,N/A,N/A
1/21/2016,N/A,40,21,43,33,39,32,38,N/A,16,18,57,N/A,39,27,N/A,32,54,42,N/A,N/A,53,102,59,38,35,52,25,36,N/A,42,52,46,52,68,58,58,42,62,48,30,78,46,61,44,26,28,30,59,38,40,67,64,62,N/A,51,44,36,32,N/A,N/A
1/22/2016,N/A,38,32,41,34,41,33,38,N/A,17,16,51,N/A,43,37,N/A,37,46,38,N/A,37,57,99,61,46,32,59,27,42,N/A,46,48,46,40,49,34,31,28,33,61,28,78,42,54,40,21,23,26,40,32,35,27,41,44,N/A,32,39,39,27,N/A,N/A
1/23/2016,37,40,33,N/A,37,39,40,40,N/A,17,19,55,N/A,44,38,N/A,35,38,34,N/A,52,74,128,87,49,32,59,27,42,39,47,52,39,31,44,41,35,32,44,N/A,34,N/A,46,59,44,28,28,35,41,27,34,35,55,49,N/A,36,51,34,23,N/A,N/A
1/24/2016,38,42,27,N/A,19,39,32,33,N/A,17,14,45,N/A,27,28,N/A,30,46,38,N/A,33,57,76,55,59,43,49,21,37,37,41,44,41,44,58,57,49,39,47,N/A,33,84,15,22,25,36,36,38,33,21,19,76,45,36,N/A,14,44,31,14,N/A,N/A
1/25/2016,34,52,35,N/A,29,39,35,38,N/A,18,16,66,N/A,29,28,N/A,32,45,37,N/A,32,49,70,40,41,42,53,20,37,36,49,52,36,4,10,17,10,8,14,N/A,44,N/A,30,40,27,51,43,33,10,14,10,22,26,6,N/A,N/A,N/A,33,11,N/A,N/A
1/26/2016,47,64,49,N/A,43,49,47,50,N/A,20,19,58,N/A,43,44,N/A,43,64,60,N/A,43,62,99,55,58,53,78,26,47,57,75,63,52,5,12,8,8,7,14,N/A,58,N/A,38,54,43,46,27,33,9,10,7,15,11,8,N/A,N/A,23,52,6,N/A,N/A
1/27/2016,46,65,48,N/A,41,48,44,52,N/A,21,19,58,N/A,43,38,N/A,42,66,64,N/A,33,60,103,60,72,58,99,40,75,79,81,89,59,20,34,13,9,10,16,21,56,85,31,55,51,43,10,24,18,20,12,24,12,12,N/A,41,33,71,9,N/A,N/A
1/28/2016,64,85,70,N/A,60,64,57,73,N/A,25,24,90,N/A,64,50,N/A,57,86,95,N/A,49,81,152,88,84,117,109,43,89,78,100,104,80,46,61,36,26,22,43,43,28,30,38,70,52,39,19,34,30,19,24,63,31,19,N/A,32,37,78,21,N/A,N/A
1/29/2016,89,88,75,N/A,80,79,75,89,N/A,30,28,107,N/A,77,69,N/A,68,105,97,N/A,82,101,199,120,108,126,123,49,79,80,108,114,117,41,64,38,42,24,36,92,N/A,12,61,95,N/A,28,28,30,34,26,33,84,38,23,N/A,43,34,92,22,N/A,N/A
1/30/2016,60,53,53,N/A,46,71,50,60,N/A,23,29,71,N/A,58,40,N/A,52,69,57,N/A,76,82,221,96,66,48,74,40,51,58,66,81,73,37,82,43,36,27,50,96,N/A,19,84,104,N/A,27,26,34,38,35,33,74,45,27,N/A,53,34,52,24,N/A,N/A
1/31/2016,30,36,22,N/A,28,33,27,27,N/A,16,17,38,N/A,30,25,N/A,30,37,66,N/A,35,57,76,53,35,33,51,20,28,26,37,43,34,40,72,49,47,27,52,61,N/A,23,65,89,37,31,28,40,40,44,38,80,56,35,N/A,51,36,23,26,N/A,N/A
2/1/2016,38,40,29,N/A,33,48,36,38,N/A,18,18,48,N/A,42,44,N/A,28,N/A,30,N/A,N/A,71,149,57,56,35,50,23,34,33,36,47,36,41,71,64,70,37,73,76,N/A,21,65,72,33,34,32,37,48,44,42,92,70,38,N/A,46,40,32,34,N/A,N/A
2/2/2016,49,55,42,N/A,34,54,42,47,N/A,21,17,52,N/A,46,50,N/A,42,59,46,N/A,N/A,76,132,72,108,82,67,31,46,52,65,70,61,56,83,70,62,49,67,84,N/A,21,33,50,44,36,31,39,55,42,35,104,62,49,N/A,38,44,54,35,N/A,N/A
2/3/2016,56,64,53,N/A,42,60,47,55,N/A,21,21,66,N/A,54,51,N/A,48,59,61,N/A,N/A,78,116,81,105,92,74,31,58,64,62,70,57,57,82,71,65,49,69,62,39,20,44,59,45,45,38,35,60,39,39,87,70,49,N/A,47,49,55,37,N/A,N/A
2/4/2016,73,93,N/A,N/A,58,75,69,73,N/A,26,22,90,N/A,73,76,N/A,63,79,85,N/A,N/A,99,135,96,121,143,91,35,63,72,73,78,66,52,67,74,68,50,67,87,N/A,24,60,76,55,48,34,37,52,50,47,87,68,59,N/A,51,39,76,38,N/A,N/A
2/5/2016,88,92,N/A,N/A,59,93,63,73,N/A,N/A,22,83,N/A,73,76,N/A,63,89,80,N/A,N/A,99,149,88,116,149,93,38,69,71,72,N/A,74,52,69,80,83,57,88,114,54,33,48,66,52,42,31,31,55,49,46,100,73,55,N/A,47,42,76,37,N/A,N/A
2/6/2016,64,64,N/A,55,44,68,50,56,N/A,N/A,19,62,N/A,54,56,N/A,63,62,65,N/A,N/A,74,162,99,112,89,68,29,56,51,61,78,60,49,68,N/A,56,37,55,78,66,43,44,56,44,51,43,40,39,44,34,97,54,48,N/A,38,38,49,26,N/A,N/A
2/7/2016,68,79,N/A,74,58,73,68,76,N/A,N/A,21,73,N/A,65,73,N/A,51,79,86,N/A,N/A,88,180,112,97,109,92,33,50,71,85,84,84,40,50,69,50,38,48,83,N/A,48,74,69,91,70,46,64,53,44,48,80,49,40,N/A,44,37,63,44,N/A,N/A
2/8/2016,83,98,N/A,84,76,82,84,88,N/A,N/A,26,110,N/A,87,86,N/A,65,N/A,95,N/A,N/A,99,139,96,102,128,98,40,80,80,85,91,89,N/A,72,73,63,50,71,96,N/A,66,78,80,78,64,53,78,54,53,58,102,68,51,N/A,N/A,40,80,39,N/A,N/A
2/9/2016,98,137,N/A,101,87,97,94,108,N/A,N/A,29,116,N/A,98,106,N/A,101,N/A,120,N/A,N/A,117,196,118,132,155,110,40,86,90,100,94,98,N/A,91,103,90,67,102,138,N/A,67,87,96,73,51,51,56,59,55,50,125,87,58,N/A,N/A,42,92,35,N/A,N/A
2/10/2016,N/A,152,N/A,118,107,116,108,120,N/A,N/A,34,138,N/A,110,113,N/A,105,N/A,131,N/A,N/A,126,225,120,167,152,117,57,106,110,144,128,150,90,118,110,103,90,128,167,71,46,104,121,94,49,49,50,82,61,62,156,125,90,N/A,N/A,56,91,49,N/A,N/A
2/11/2016,N/A,96,N/A,92,73,100,74,86,N/A,N/A,33,92,N/A,82,94,N/A,68,N/A,87,N/A,108,106,201,105,166,108,105,34,73,74,82,87,114,98,125,136,126,106,148,159,43,28,137,116,58,38,39,37,107,67,87,160,151,121,N/A,N/A,77,75,68,N/A,N/A
