Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,46T,47T,60T,62T,63T,44T,57T,58T,67T,68T,69T,70T,71T,72T,73T,74T,75T,76T,77T,79T,80T
1/20/2017,N/A,48,N/A,18,63,46,48,N/A,N/A,50,N/A,89,70,78,54,46,45,N/A,47,N/A,N/A,N/A,142,66,75,96,52,78,47,60,48,89,51,42,47,31,25,36,35,72,28,25,36,50,40,N/A,N/A,N/A,34,28,33,38,35,58,N/A,36,43,68,21,70,57,N/A,N/A
1/21/2017,N/A,46,N/A,18,54,44,46,N/A,N/A,58,N/A,86,61,60,44,44,37,N/A,41,N/A,N/A,N/A,117,N/A,82,92,42,64,43,54,42,82,49,42,53,32,27,30,33,61,28,20,31,39,35,N/A,N/A,27,34,29,40,40,32,37,N/A,33,42,48,23,68,108,N/A,N/A
1/22/2017,40,38,N/A,16,45,38,38,N/A,N/A,44,N/A,75,52,56,33,36,29,N/A,34,N/A,49,N/A,88,N/A,70,64,30,48,34,39,36,76,39,34,35,29,29,28,29,50,34,22,32,28,31,50,N/A,40,28,24,26,34,32,35,N/A,30,39,43,19,94,49,N/A,N/A
1/23/2017,40,48,N/A,19,56,45,43,N/A,N/A,52,N/A,80,61,72,N/A,43,39,N/A,38,N/A,48,N/A,99,N/A,70,79,42,48,35,40,41,87,41,39,40,33,24,28,32,54,32,22,47,41,36,64,N/A,41,28,25,31,35,33,37,N/A,37,38,39,19,67,82,N/A,N/A
1/24/2017,47,57,N/A,20,61,55,58,N/A,N/A,68,N/A,107,70,74,N/A,55,45,N/A,50,N/A,N/A,N/A,104,60,68,92,60,56,35,50,56,92,48,46,37,31,33,34,29,68,41,26,54,53,37,39,N/A,37,32,30,34,39,39,34,N/A,41,38,41,21,71,57,N/A,N/A
1/25/2017,57,72,N/A,26,69,66,68,N/A,N/A,79,N/A,124,85,77,N/A,70,53,N/A,63,N/A,N/A,N/A,119,67,68,95,60,78,49,62,62,100,57,43,33,33,32,37,30,82,54,32,41,51,45,32,N/A,32,32,33,31,39,50,39,N/A,45,30,44,18,68,101,N/A,N/A
1/26/2017,45,44,N/A,18,51,45,N/A,N/A,N/A,62,N/A,83,61,72,47,46,34,N/A,42,N/A,N/A,N/A,109,52,62,91,38,46,36,42,36,78,41,42,31,38,31,32,36,65,33,20,39,38,33,47,N/A,31,30,47,31,40,38,36,N/A,34,38,42,19,70,62,N/A,N/A
1/27/2017,46,47,N/A,17,60,45,N/A,N/A,N/A,61,N/A,78,62,80,53,44,37,N/A,40,N/A,66,N/A,120,59,65,81,43,55,36,47,41,93,45,48,36,33,26,29,35,61,24,19,40,51,37,74,N/A,N/A,33,32,34,41,37,37,N/A,39,34,44,21,77,59,N/A,N/A
1/28/2017,44,55,N/A,N/A,59,49,N/A,N/A,N/A,61,N/A,65,71,81,63,47,49,N/A,54,N/A,75,N/A,132,66,69,78,42,62,38,50,46,92,51,44,42,31,34,40,32,67,29,29,46,56,40,56,N/A,N/A,36,21,36,43,39,36,N/A,38,37,53,23,93,88,N/A,N/A
1/29/2017,56,68,N/A,23,82,63,N/A,N/A,N/A,83,N/A,104,91,91,82,62,60,N/A,63,N/A,100,N/A,227,89,71,80,61,69,42,52,64,109,64,52,45,42,55,55,50,83,34,30,84,88,57,45,N/A,39,37,27,37,43,49,38,N/A,47,29,49,26,N/A,78,N/A,N/A
1/30/2017,59,65,N/A,21,N/A,61,N/A,N/A,N/A,76,N/A,84,88,103,79,64,59,N/A,65,N/A,126,N/A,238,105,80,84,73,85,45,57,73,108,73,53,50,55,53,56,60,115,39,36,86,98,63,37,N/A,49,39,36,41,51,53,49,N/A,59,47,67,30,143,99,N/A,N/A
1/31/2017,62,66,68,23,N/A,64,70,N/A,N/A,73,N/A,95,85,112,78,56,58,N/A,55,N/A,104,N/A,138,78,90,97,69,99,54,78,64,116,72,71,60,55,57,71,57,87,40,35,53,54,57,35,N/A,33,54,36,46,53,60,53,N/A,58,44,68,31,116,76,N/A,N/A
2/1/2017,60,79,62,21,N/A,59,67,N/A,N/A,72,N/A,91,85,122,68,68,57,N/A,67,N/A,83,N/A,191,90,85,120,70,89,46,77,60,102,67,66,60,57,47,64,60,91,56,27,63,69,51,39,N/A,41,56,43,47,65,56,54,N/A,54,59,66,31,100,78,N/A,N/A
2/2/2017,67,67,61,22,71,68,67,N/A,N/A,77,N/A,100,78,96,59,60,50,N/A,56,N/A,58,N/A,106,63,80,110,63,71,39,61,53,107,61,62,52,41,33,41,45,81,60,52,32,39,52,37,N/A,47,44,41,40,49,46,46,N/A,47,48,51,33,93,56,N/A,N/A
2/3/2017,27,26,26,10,45,25,28,N/A,N/A,30,N/A,58,41,79,27,25,23,N/A,25,N/A,N/A,N/A,128,33,71,41,36,40,29,38,32,75,38,64,44,38,35,N/A,48,55,45,49,28,38,21,23,N/A,42,37,37,36,51,47,39,N/A,51,45,28,27,80,34,N/A,N/A
2/4/2017,40,54,54,15,47,40,54,N/A,N/A,55,N/A,91,68,73,49,60,48,N/A,64,N/A,N/A,N/A,139,58,67,89,45,51,35,47,N/A,95,55,46,40,40,44,54,50,69,29,15,53,56,37,21,N/A,28,37,39,35,52,50,47,N/A,46,52,48,26,82,69,N/A,N/A
2/5/2017,51,71,67,21,56,61,69,N/A,N/A,78,N/A,92,83,88,75,78,58,N/A,73,N/A,N/A,N/A,208,89,71,84,76,107,43,73,75,116,79,47,41,38,37,46,47,82,36,20,71,77,75,18,N/A,26,38,37,39,55,47,49,N/A,42,37,67,25,84,89,N/A,N/A
2/6/2017,68,93,92,26,86,73,93,N/A,N/A,95,N/A,115,112,146,86,89,73,N/A,109,N/A,N/A,N/A,215,102,64,88,92,128,54,89,99,152,92,62,56,48,45,59,53,100,41,31,75,112,93,33,N/A,41,46,47,41,63,53,52,N/A,47,51,78,35,99,96,N/A,N/A
2/7/2017,51,64,63,20,56,55,62,N/A,N/A,70,N/A,88,81,96,N/A,63,54,N/A,59,N/A,N/A,N/A,242,101,48,59,84,93,49,67,70,133,74,70,63,52,34,61,56,101,46,23,92,105,79,33,N/A,42,57,43,50,65,56,55,N/A,64,43,63,39,92,134,N/A,N/A
2/8/2017,41,44,41,14,47,44,47,N/A,N/A,55,N/A,64,64,63,N/A,44,39,N/A,41,N/A,N/A,N/A,189,84,40,47,68,62,42,52,52,109,40,64,60,53,38,62,57,95,39,21,149,120,53,39,N/A,49,59,38,51,63,58,55,N/A,63,42,51,38,105,101,N/A,N/A
2/9/2017,47,58,63,21,73,59,66,N/A,N/A,64,N/A,79,76,98,N/A,54,51,N/A,62,N/A,N/A,N/A,257,79,61,60,61,67,49,42,55,99,63,68,62,66,38,71,60,133,41,18,77,116,58,30,N/A,43,56,46,56,67,69,59,N/A,90,61,47,40,124,96,N/A,N/A
2/10/2017,35,65,70,22,96,66,73,N/A,N/A,71,N/A,98,80,97,75,63,58,N/A,68,N/A,N/A,N/A,206,113,89,67,71,74,43,57,78,114,79,70,62,76,59,96,84,112,46,22,46,65,67,34,N/A,38,96,50,58,55,86,69,N/A,75,63,56,49,148,116,N/A,N/A
2/11/2017,71,69,66,19,80,59,69,N/A,N/A,70,N/A,82,85,92,80,64,70,N/A,65,N/A,N/A,N/A,120,80,102,103,68,100,56,68,75,131,69,80,67,79,69,96,76,88,38,27,45,54,53,54,N/A,41,75,46,44,67,72,63,N/A,65,68,70,33,104,86,N/A,N/A
2/12/2017,53,55,53,18,59,56,65,N/A,N/A,67,N/A,73,66,70,48,50,45,N/A,54,N/A,N/A,N/A,104,72,103,65,53,61,39,52,55,101,53,80,68,66,55,66,58,78,45,36,61,63,45,65,N/A,49,45,58,48,60,58,52,N/A,62,65,50,33,86,61,N/A,N/A
2/13/2017,72,73,64,20,69,68,67,N/A,N/A,76,N/A,81,N/A,95,68,70,58,N/A,65,N/A,N/A,N/A,122,81,97,98,60,81,44,N/A,66,119,80,71,66,70,58,77,59,93,50,39,64,76,61,64,N/A,47,43,60,60,68,67,57,N/A,75,55,65,37,93,87,N/A,N/A
2/14/2017,78,85,75,23,83,77,81,N/A,N/A,88,N/A,106,N/A,124,78,77,65,N/A,77,N/A,N/A,N/A,146,88,115,121,67,78,46,N/A,73,115,82,78,72,67,61,77,59,98,66,51,66,80,61,53,N/A,45,59,66,59,67,72,64,N/A,74,62,58,43,119,85,N/A,N/A
2/15/2017,70,79,68,21,70,75,75,N/A,N/A,86,N/A,101,93,109,75,73,58,N/A,65,N/A,N/A,N/A,159,83,115,122,75,85,45,N/A,64,109,73,81,67,N/A,46,62,51,80,55,51,59,64,50,51,N/A,40,61,67,52,60,64,53,N/A,50,64,66,40,97,68,N/A,N/A
2/16/2017,63,77,68,23,68,76,77,N/A,N/A,85,N/A,121,89,99,75,79,58,N/A,78,N/A,N/A,N/A,188,85,103,126,65,76,40,N/A,64,97,72,74,64,N/A,50,55,54,110,36,26,50,64,54,57,N/A,42,59,71,44,62,58,59,N/A,42,41,65,36,88,79,N/A,N/A
2/17/2017,62,74,71,22,83,69,73,N/A,N/A,84,N/A,107,91,98,85,79,59,N/A,77,N/A,N/A,N/A,230,100,94,N/A,80,99,51,N/A,80,139,89,66,58,60,42,54,55,96,40,32,74,73,74,N/A,N/A,39,51,73,54,59,53,61,N/A,57,58,78,33,108,75,N/A,N/A
2/18/2017,69,81,84,24,98,76,98,N/A,N/A,98,N/A,136,101,97,91,79,69,N/A,84,N/A,N/A,N/A,197,105,121,N/A,87,105,53,N/A,94,157,103,66,56,59,47,59,61,101,34,25,60,69,84,N/A,N/A,31,47,76,47,59,58,53,N/A,56,52,83,40,103,102,N/A,N/A
