Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,46T,47T,60T,62T,63T,44T,57T,58T,67T,68T (*),68T (**),69T,70T,71T,72T,73T,74T,75T,76T,77T,79T,80T
4/6/2018,54,n/a,55,n/a,n/a,50,60,74,70,60,68,n/a,75,49,36,n/a,50,n/a,65,n/a,66,n/a,154,69,64,53,50,65,40,n/a,54,58,54,53,42,45,39,35,57,49,45,44,64,59,59,39,47,38,35,64,31,37,n/a,32,33,54,66,35,48,42,65,45,35,35
4/7/2018,28,n/a,23,n/a,n/a,22,30,32,34,28,37,n/a,46,18,34,n/a,20,n/a,33,n/a,28,n/a,81,50,51,37,24,33,24,22,27,32,21,39,37,18,18,12,20,38,41,40,28,20,27,39,41,30,39,72,19,n/a,n/a,23,21,47,35,22,34,n/a,41,24,23,30
4/8/2018,40,n/a,36,n/a,n/a,38,45,50,54,51,59,n/a,58,37,29,n/a,33,n/a,42,n/a,53,n/a,97,54,55,60,22,36,24,27,30,36,30,35,27,21,23,27,34,50,22,38,61,49,26,31,33,30,n/a,32,31,n/a,n/a,31,40,49,53,41,29,42,33,33,34,27
4/9/2018,70,n/a,66,n/a,n/a,64,75,107,89,85,80,n/a,89,60,78,n/a,61,n/a,96,n/a,73,n/a,150,78,73,114,50,n/a,52,57,54,65,58,49,38,36,31,30,44,81,29,39,71,84,50,45,38,32,n/a,85,42,n/a,n/a,54,45,80,54,46,62,31,68,66,55,31
4/10/2018,77,78,70,n/a,n/a,72,83,125,n/a,96,85,n/a,100,75,85,n/a,71,n/a,100,n/a,102,n/a,214,77,71,87,63,n/a,63,66,63,83,69,67,54,57,33,45,64,92,35,39,85,75,63,19,23,24,n/a,130,49,50,n/a,55,49,85,63,47,69,39,94,62,57,27
4/11/2018,43,42,44,n/a,n/a,39,48,61,51,42,48,n/a,60,41,27,n/a,33,n/a,52,n/a,69,n/a,120,78,80,36,46,54,37,n/a,45,58,45,111,87,78,69,73,98,97,24,33,78,70,59,31,35,23,n/a,86,77,67,n/a,75,78,66,68,64,45,60,90,66,48,19
4/12/2018,37,31,33,n/a,n/a,29,37,43,39,34,34,n/a,46,29,15,n/a,24,42,41,n/a,37,n/a,61,54,49,n/a,35,44,26,n/a,34,40,31,95,77,90,57,94,91,85,27,35,69,64,47,26,33,26,n/a,73,92,61,n/a,81,88,54,64,63,30,73,85,46,49,26
4/13/2018,33,25,29,n/a,n/a,25,31,33,32,28,29,n/a,44,27,9,n/a,21,40,38,n/a,n/a,n/a,56,46,44,n/a,35,39,24,n/a,28,33,31,95,84,89,74,101,97,74,24,34,56,60,40,25,28,23,n/a,94,101,86,n/a,82,104,51,69,87,30,85,84,39,41,19
4/14/2018,32,24,27,n/a,n/a,25,31,31,31,29,28,n/a,43,25,8,n/a,21,37,38,n/a,n/a,n/a,49,46,47,n/a,29,32,22,n/a,27,36,27,111,96,90,67,129,100,72,25,28,54,55,38,20,27,17,n/a,131,94,83,n/a,87,102,52,63,124,20,81,97,34,43,17
4/15/2018,29,23,27,n/a,n/a,24,31,26,31,27,29,n/a,39,24,n/a,n/a,18,35,39,n/a,34,n/a,44,49,66,n/a,25,35,20,n/a,23,26,25,116,90,77,66,77,89,61,20,29,51,55,31,17,23,28,130,165,98,60,n/a,76,137,39,45,143,25,87,96,33,41,18
4/16/2018,32,32,35,n/a,n/a,29,39,34,37,36,40,n/a,44,29,n/a,n/a,24,41,51,n/a,49,n/a,53,46,41,n/a,29,42,28,n/a,30,34,32,91,74,54,31,38,53,55,24,27,37,48,31,21,27,19,77,148,n/a,71,n/a,38,49,59,34,75,23,41,117,32,36,21
4/17/2018,24,24,25,n/a,n/a,22,28,35,31,26,31,n/a,41,23,n/a,n/a,19,40,36,n/a,23,n/a,57,30,50,n/a,22,26,21,n/a,22,30,23,51,50,31,22,21,32,51,26,31,31,52,23,25,28,20,26,n/a,n/a,28,n/a,23,31,32,16,32,21,27,83,23,27,21
4/18/2018,39,39,40,n/a,n/a,34,43,56,51,46,58,n/a,57,35,22,n/a,31,51,55,n/a,42,n/a,85,40,57,n/a,25,41,20,n/a,31,35,27,49,36,32,22,29,34,52,27,34,47,52,27,32,37,24,22,n/a,n/a,27,n/a,25,30,40,23,25,27,27,66,37,34,36
4/19/2018,30,24,30,n/a,n/a,25,36,53,36,31,34,n/a,44,28,23,n/a,22,40,42,n/a,53,n/a,118,51,64,n/a,37,38,22,n/a,33,39,31,62,47,48,37,47,59,83,37,41,67,38,39,37,36,26,n/a,n/a,n/a,45,n/a,54,44,24,32,35,30,40,81,42,39,22
4/20/2018,30,24,30,n/a,n/a,27,32,50,37,28,33,n/a,47,26,18,n/a,25,n/a,59,n/a,48,n/a,81,47,64,18,32,46,26,n/a,32,41,27,80,65,65,49,65,83,66,40,40,50,50,37,31,36,26,52,n/a,n/a,55,n/a,65,60,36,33,42,25,45,n/a,40,29,30
4/21/2018,31,28,31,n/a,n/a,26,34,48,36,30,34,n/a,47,24,16,n/a,24,n/a,54,n/a,46,n/a,86,51,50,21,33,45,28,n/a,35,42,31,94,70,85,67,71,90,85,43,42,64,36,38,29,32,25,77,n/a,112,79,n/a,86,80,39,50,67,34,56,96,38,38,26
4/22/2018,30,24,26,n/a,n/a,22,31,37,31,26,34,n/a,40,21,11,n/a,22,38,36,n/a,36,n/a,75,50,43,19,30,41,23,n/a,28,37,27,112,91,94,77,83,100,79,39,41,73,39,n/a,25,31,28,97,162,129,84,n/a,86,98,47,64,88,29,73,93,33,37,26
4/23/2018,37,35,38,n/a,n/a,37,44,58,50,43,45,n/a,50,43,28,n/a,28,47,43,n/a,65,n/a,89,62,59,30,33,40,21,n/a,28,40,29,117,87,93,76,83,99,91,39,37,65,35,n/a,28,33,29,104,123,138,86,n/a,92,107,40,69,101,29,92,88,40,52,31
4/24/2018,31,30,32,n/a,n/a,29,36,54,40,33,35,n/a,49,28,23,n/a,26,50,44,n/a,n/a,n/a,77,52,52,29,29,37,21,n/a,31,32,26,126,95,108,78,87,105,94,42,36,73,37,36,31,29,37,117,147,173,61,n/a,108,100,47,78,123,23,94,86,36,57,23
4/25/2018,41,39,38,n/a,n/a,40,45,61,55,44,45,n/a,60,53,35,n/a,35,58,51,n/a,n/a,n/a,77,56,66,39,26,38,19,n/a,29,37,31,97,86,74,n/a,72,89,88,37,34,73,40,40,21,22,31,57,120,128,68,n/a,101,67,43,65,57,30,58,87,40,51,n/a
4/26/2018,38,34,30,n/a,n/a,31,35,55,46,38,36,n/a,52,28,23,n/a,28,52,44,n/a,41,n/a,102,57,65,37,19,35,17,n/a,29,35,26,66,57,42,n/a,32,49,78,24,29,24,47,22,21,19,27,52,134,42,44,n/a,32,43,39,38,41,23,33,91,38,53,18
4/27/2018,34,33,29,n/a,n/a,33,32,48,44,38,42,n/a,47,n/a,n/a,n/a,24,52,43,n/a,38,n/a,131,57,29,48,23,37,21,n/a,29,30,30,57,47,33,33,n/a,38,47,17,32,30,44,24,23,29,23,35,103,31,38,n/a,29,37,52,36,37,25,33,85,32,21,22
4/28/2018,28,25,24,n/a,n/a,21,28,42,34,30,45,n/a,41,n/a,12,n/a,20,48,39,n/a,16,n/a,68,31,23,29,16,28,34,n/a,n/a,28,21,49,43,24,16,27,26,35,19,30,17,24,16,n/a,28,27,33,77,28,26,n/a,23,32,31,24,38,20,27,50,19,15,24
4/29/2018,33,32,34,n/a,n/a,26,36,45,43,35,54,n/a,47,n/a,7,n/a,24,52,44,n/a,23,n/a,116,43,34,34,23,44,22,n/a,26,35,28,40,30,11,20,14,17,30,17,32,20,26,23,25,21,29,36,48,18,20,n/a,22,23,35,20,26,28,21,32,25,19,25
4/30/2018,25,26,23,n/a,n/a,23,27,48,32,28,29,n/a,41,n/a,n/a,n/a,20,49,37,n/a,17,n/a,125,34,38,16,20,29,16,n/a,25,25,30,40,28,12,n/a,15,19,38,21,31,17,26,19,22,26,30,32,34,16,19,n/a,23,22,35,12,25,22,24,38,16,20,23
5/1/2018,21,17,n/a,n/a,n/a,15,19,28,22,19,20,n/a,30,n/a,n/a,n/a,16,38,28,n/a,9,n/a,44,24,21,14,17,30,n/a,n/a,15,24,21,29,28,15,20,15,21,33,21,28,26,25,20,21,29,27,31,32,19,18,n/a,18,22,23,22,33,22,23,29,12,15,23
5/2/2018,24,20,n/a,n/a,n/a,16,25,56,29,n/a,26,n/a,35,n/a,24,n/a,20,41,29,n/a,15,n/a,80,37,27,28,22,30,18,n/a,21,38,24,19,21,9,12,13,18,41,25,37,26,25,22,26,28,23,12,22,13,11,n/a,22,12,34,25,24,20,15,29,20,13,25
5/3/2018,28,29,28,n/a,n/a,25,31,53,39,32,39,n/a,46,n/a,23,n/a,23,47,39,n/a,23,n/a,117,45,29,40,25,38,19,n/a,27,49,30,28,19,12,20,21,23,35,27,36,39,32,27,23,27,30,15,20,19,12,n/a,24,17,31,33,20,26,21,30,20,23,24
5/4/2018,28,34,33,n/a,n/a,27,36,57,44,34,43,n/a,50,n/a,19,n/a,n/a,54,54,n/a,28,n/a,126,45,31,30,23,34,23,n/a,35,46,43,35,24,19,30,26,24,41,24,33,36,26,20,27,28,20,18,35,22,16,n/a,30,23,28,27,19,27,22,27,17,21,22
5/5/2018,26,20,27,n/a,n/a,22,29,38,32,27,37,n/a,35,n/a,20,n/a,n/a,34,33,n/a,22,n/a,99,40,33,22,29,29,18,n/a,27,72,36,35,26,21,38,27,28,38,23,n/a,32,26,26,23,31,20,30,23,24,17,n/a,28,24,37,24,24,n/a,26,29,22,n/a,24
5/6/2018,24,15,27,n/a,n/a,17,26,39,27,23,31,n/a,28,n/a,14,n/a,14,29,28,n/a,22,n/a,68,38,40,16,27,32,19,n/a,20,56,26,52,35,28,44,33,34,44,32,30,39,30,24,26,35,25,40,35,31,27,n/a,31,37,27,27,33,26,35,32,18,n/a,28
5/7/2018,n/a,28,28,n/a,n/a,22,31,56,37,32,32,n/a,n/a,n/a,18,n/a,20,34,36,n/a,26,n/a,68,41,31,24,28,24,18,n/a,21,42,24,68,48,45,46,40,47,49,27,29,39,28,27,23,28,36,44,64,38,44,n/a,46,49,40,29,46,25,44,43,20,n/a,23
5/8/2018,n/a,36,33,n/a,n/a,27,36,64,45,41,36,n/a,51,n/a,31,n/a,26,57,44,n/a,38,n/a,80,46,34,23,24,23,17,n/a,25,34,27,76,53,53,52,48,65,58,26,32,56,29,23,28,29,32,54,60,52,44,n/a,63,57,43,42,62,26,56,57,20,31,26
5/9/2018,n/a,24,28,n/a,n/a,27,31,53,38,33,37,n/a,44,n/a,n/a,n/a,19,41,41,n/a,35,n/a,85,44,48,26,22,22,15,n/a,21,33,25,75,57,60,61,48,75,74,24,37,63,37,28,32,30,42,53,54,65,47,n/a,58,63,37,45,60,27,65,59,26,34,26
5/10/2018,n/a,21,25,n/a,n/a,24,29,46,36,30,31,n/a,45,n/a,n/a,n/a,20,47,38,n/a,28,n/a,110,34,44,22,18,26,13,n/a,28,30,26,61,49,48,41,46,54,66,25,36,54,38,19,28,30,38,48,61,54,46,n/a,56,56,37,42,61,20,59,46,26,38,29
5/11/2018,35,32,25,n/a,n/a,24,34,51,42,35,48,n/a,52,n/a,n/a,n/a,27,59,55,n/a,n/a,n/a,96,33,44,39,25,40,22,n/a,26,41,39,43,37,21,45,24,23,37,25,33,38,24,26,37,36,36,28,28,29,n/a,n/a,32,22,30,32,37,23,34,36,26,18,34
5/12/2018,38,37,41,n/a,n/a,38,45,66,51,48,56,n/a,56,n/a,n/a,n/a,30,57,43,n/a,n/a,n/a,107,46,35,56,30,49,23,n/a,42,42,44,48,37,30,n/a,24,33,43,35,30,37,24,31,28,31,27,23,n/a,25,22,n/a,31,24,35,28,31,29,27,32,29,18,29
5/13/2018,34,35,37,n/a,n/a,32,40,49,42,33,51,n/a,48,n/a,n/a,n/a,26,49,40,n/a,n/a,n/a,105,48,35,33,30,49,24,n/a,30,43,34,39,35,22,41,23,30,42,35,28,35,35,27,26,29,28,26,25,24,19,n/a,22,26,33,23,28,26,27,33,29,18,23
5/14/2018,29,36,29,n/a,n/a,24,33,45,41,32,45,n/a,47,n/a,n/a,n/a,25,51,49,n/a,26,n/a,126,51,33,21,27,39,24,n/a,29,42,33,44,35,24,48,28,30,35,33,24,36,38,30,27,29,28,33,34,30,28,n/a,34,33,25,26,32,27,26,24,28,23,25
5/15/2018,35,34,38,n/a,n/a,34,42,50,53,41,48,n/a,54,n/a,n/a,n/a,28,53,32,n/a,32,n/a,86,47,38,13,34,48,26,n/a,30,45,40,53,38,25,n/a,30,28,42,24,25,44,36,30,22,28,33,34,38,33,n/a,n/a,29,31,40,26,29,36,30,36,32,24,28
5/16/2018,32,19,28,n/a,n/a,21,31,51,32,28,39,n/a,36,n/a,n/a,n/a,18,35,27,n/a,36,n/a,88,50,37,19,43,n/a,28,n/a,30,57,28,49,36,31,38,29,38,44,22,26,49,32,37,22,22,37,28,36,31,29,n/a,35,36,37,26,28,33,n/a,38,38,20,26
5/17/2018,24,17,22,n/a,n/a,19,26,n/a,29,22,26,n/a,36,n/a,n/a,n/a,17,40,43,n/a,30,n/a,81,39,37,13,38,n/a,23,n/a,26,40,25,39,33,24,n/a,19,25,38,25,24,48,30,37,21,19,31,23,26,15,20,n/a,23,23,44,22,26,29,n/a,37,40,24,32
5/18/2018,25,19,32,n/a,n/a,23,34,n/a,36,28,37,n/a,40,n/a,n/a,n/a,17,47,35,n/a,29,n/a,87,41,34,15,33,42,27,n/a,35,42,40,39,29,24,37,21,28,45,25,29,34,28,21,19,22,44,25,31,21,18,n/a,24,26,48,26,29,26,n/a,34,33,24,27
5/19/2018,28,25,26,n/a,n/a,26,31,n/a,n/a,31,37,n/a,45,n/a,n/a,n/a,21,49,35,n/a,35,n/a,95,65,37,30,27,41,20,n/a,28,34,36,44,33,24,44,19,25,42,29,28,37,32,32,19,24,36,27,46,18,27,n/a,19,27,31,25,38,23,19,37,35,19,26
5/20/2018,31,29,37,n/a,n/a,35,40,n/a,n/a,37,55,n/a,53,n/a,n/a,n/a,25,45,40,n/a,34,n/a,74,51,34,34,27,41,21,n/a,30,n/a,29,48,42,26,41,24,31,36,26,27,43,27,n/a,20,22,26,41,49,21,28,n/a,27,35,31,24,44,27,n/a,41,26,19,20
5/21/2018,30,32,33,n/a,n/a,34,41,n/a,45,35,43,n/a,49,n/a,n/a,n/a,25,61,43,n/a,26,n/a,95,40,36,17,26,36,26,n/a,29,30,35,59,55,29,44,21,33,55,29,25,38,29,21,26,28,34,43,43,24,27,n/a,26,26,34,26,52,23,25,36,26,26,25
5/22/2018,n/a,32,32,n/a,n/a,33,37,65,51,43,44,n/a,60,n/a,n/a,n/a,33,69,37,n/a,27,n/a,164,65,30,47,28,33,22,n/a,29,28,34,30,31,11,41,14,20,42,32,25,34,29,24,26,28,35,21,35,23,16,n/a,20,21,33,15,27,27,23,32,31,14,22
5/23/2018,n/a,32,29,n/a,n/a,29,35,55,46,45,35,n/a,58,n/a,24,n/a,28,59,45,n/a,22,n/a,139,50,49,48,23,40,22,n/a,31,30,25,37,29,23,36,20,25,56,25,24,38,19,19,25,23,27,28,23,21,24,n/a,27,28,29,20,23,31,24,31,25,26,23
5/24/2018,24,22,21,n/a,n/a,18,26,72,32,25,27,n/a,40,n/a,n/a,n/a,15,52,25,39,16,n/a,74,32,32,16,24,27,17,n/a,25,37,26,25,29,20,51,21,24,46,27,25,34,n/a,23,18,20,29,20,15,13,12,n/a,23,21,30,18,20,21,21,24,22,17,25
5/25/2018,28,20,22,n/a,n/a,19,27,53,32,28,27,n/a,46,n/a,n/a,n/a,19,50,29,51,n/a,n/a,74,40,24,25,17,24,16,n/a,22,26,20,28,23,13,41,23,20,33,23,28,34,30,20,19,22,23,24,20,22,13,n/a,23,21,40,23,30,24,25,25,28,17,25
5/26/2018,30,21,24,n/a,n/a,24,26,68,32,37,33,n/a,44,n/a,n/a,n/a,24,44,36,44,17,n/a,44,37,27,46,21,30,19,n/a,20,30,24,30,25,16,39,19,20,23,23,24,32,38,23,23,24,25,19,n/a,20,15,n/a,23,17,36,18,22,17,n/a,29,28,16,16
5/27/2018,28,21,21,n/a,n/a,25,28,43,37,30,31,n/a,47,n/a,10,n/a,22,48,32,33,15,n/a,83,31,27,46,22,30,16,n/a,21,26,25,24,19,n/a,41,15,15,31,26,29,28,34,17,21,23,35,19,13,16,11,n/a,16,10,28,18,23,28,21,25,25,14,21
5/28/2018,35,31,32,n/a,n/a,32,38,56,48,40,41,n/a,53,n/a,n/a,n/a,25,52,38,31,15,n/a,122,34,36,34,28,44,26,n/a,25,29,24,22,23,9,30,13,15,31,29,25,31,39,20,26,24,19,16,11,14,10,n/a,13,6,29,18,23,30,20,16,35,15,22
5/29/2018,24,19,19,n/a,n/a,18,23,48,37,26,26,n/a,39,n/a,n/a,n/a,17,44,43,23,n/a,n/a,83,31,33,14,18,29,15,n/a,22,17,23,28,25,13,n/a,15,23,39,25,24,30,33,19,18,20,20,16,14,14,13,n/a,17,10,28,19,17,18,24,24,17,22,14
5/30/2018,25,22,25,n/a,n/a,18,28,50,31,27,28,n/a,41,n/a,n/a,n/a,16,47,50,37,n/a,n/a,90,34,30,16,19,30,20,n/a,28,26,35,27,26,10,37,13,17,30,24,22,33,30,21,25,23,33,14,14,17,11,n/a,13,5,31,21,19,23,20,17,n/a,22,21
5/31/2018,34,26,32,n/a,n/a,28,37,52,46,37,40,n/a,48,n/a,n/a,n/a,21,n/a,35,26,28,n/a,139,46,33,46,23,36,25,n/a,28,32,24,31,n/a,14,33,18,21,31,24,28,37,42,23,18,23,39,18,17,15,12,n/a,18,12,22,20,24,22,20,27,n/a,17,26
6/1/2018,30,30,26,n/a,n/a,22,32,71,41,34,35,n/a,45,n/a,17,n/a,22,n/a,47,26,22,43,135,52,38,30,30,n/a,29,n/a,27,n/a,34,25,56,13,23,20,18,36,26,34,32,41,36,23,31,31,19,15,n/a,n/a,n/a,23,11,21,20,25,27,23,22,29,16,24
6/2/2018,26,27,24,n/a,n/a,20,29,61,42,32,35,n/a,45,n/a,n/a,n/a,21,n/a,45,19,17,37,117,45,29,31,30,n/a,34,n/a,26,n/a,29,21,60,17,20,15,17,29,30,34,42,42,37,25,27,37,n/a,14,n/a,n/a,n/a,17,11,28,22,23,32,27,17,42,17,24
6/3/2018,25,21,24,n/a,n/a,16,26,41,29,26,27,n/a,43,n/a,n/a,n/a,19,n/a,30,20,18,29,65,34,28,21,29,n/a,27,n/a,20,34,23,25,62,15,15,18,20,27,28,33,47,36,30,28,29,37,18,10,n/a,n/a,n/a,19,8,27,20,31,25,20,22,25,19,25
6/4/2018,25,23,22,n/a,n/a,17,25,46,31,27,26,n/a,39,n/a,n/a,n/a,16,n/a,30,19,14,34,65,35,34,21,20,n/a,18,n/a,21,25,26,30,59,13,18,19,18,33,27,29,52,39,24,31,32,37,19,11,n/a,n/a,n/a,21,13,24,24,30,20,26,25,22,14,30
6/5/2018,25,22,20,n/a,n/a,14,25,54,29,27,24,n/a,41,n/a,n/a,n/a,21,n/a,28,19,14,35,64,35,32,25,27,n/a,20,n/a,19,24,19,30,54,14,19,15,22,31,24,29,38,42,32,31,33,42,19,n/a,n/a,n/a,n/a,19,12,20,22,29,18,26,25,18,14,26
6/6/2018,30,30,24,n/a,n/a,22,29,78,36,35,30,n/a,48,n/a,21,n/a,21,n/a,34,15,11,n/a,64,33,29,38,23,n/a,17,n/a,20,34,21,24,22,10,14,14,17,25,28,34,33,41,28,31,41,45,17,23,n/a,n/a,n/a,13,9,21,18,26,21,23,19,20,16,30
6/7/2018,30,28,21,n/a,n/a,18,25,71,40,32,26,n/a,43,n/a,24,n/a,18,n/a,29,15,10,35,41,28,29,30,19,n/a,13,n/a,15,29,13,23,29,10,15,16,21,27,35,33,27,32,25,31,43,46,17,13,n/a,n/a,n/a,13,9,16,24,24,19,18,14,20,13,31
6/8/2018,24,25,19,n/a,n/a,14,23,72,37,26,23,n/a,45,n/a,23,n/a,17,n/a,28,15,11,33,54,28,29,27,17,n/a,13,n/a,15,28,13,22,24,7,15,15,15,26,23,38,27,30,n/a,28,38,39,20,12,n/a,n/a,n/a,15,4,n/a,21,24,17,22,13,21,11,34
6/9/2018,24,18,20,n/a,n/a,14,23,76,29,25,28,n/a,39,n/a,21,n/a,24,n/a,31,22,15,40,29,28,28,17,23,n/a,17,n/a,22,28,25,22,26,12,14,14,14,21,23,35,30,25,n/a,36,39,42,15,n/a,n/a,n/a,n/a,11,7,n/a,17,19,24,16,14,16,14,36
6/10/2018,28,18,23,n/a,n/a,17,26,61,33,26,29,n/a,49,n/a,15,n/a,20,n/a,26,37,22,37,59,31,33,17,19,n/a,20,n/a,24,25,26,19,22,8,12,14,14,28,23,36,35,28,31,39,40,50,11,15,n/a,n/a,n/a,10,9,n/a,20,19,23,12,14,28,30,40
6/11/2018,26,21,22,n/a,n/a,18,28,49,37,25,26,n/a,44,n/a,10,n/a,20,n/a,30,n/a,21,31,38,29,36,18,38,n/a,26,n/a,27,32,21,19,26,10,12,16,16,29,40,48,36,30,27,40,51,67,12,17,n/a,n/a,n/a,16,8,n/a,19,21,29,15,21,31,18,41
6/12/2018,24,18,19,n/a,n/a,16,26,44,33,23,24,n/a,36,n/a,n/a,n/a,37,n/a,25,n/a,21,n/a,36,29,31,15,51,n/a,24,n/a,23,24,18,23,24,13,9,15,17,30,42,48,36,26,27,48,53,52,10,14,n/a,n/a,n/a,15,14,24,25,22,23,n/a,19,23,22,43
6/13/2018,27,22,23,n/a,n/a,19,29,58,35,25,26,n/a,35,n/a,13,n/a,30,n/a,28,25,24,n/a,45,35,33,20,43,n/a,26,n/a,31,30,24,27,32,15,14,19,22,31,38,42,40,33,35,49,49,55,13,21,n/a,n/a,n/a,21,n/a,23,27,30,26,21,26,29,23,34
6/14/2018,29,25,22,n/a,n/a,22,27,57,38,29,26,n/a,35,n/a,20,n/a,40,n/a,28,24,24,n/a,65,44,35,22,n/a,n/a,20,n/a,27,36,21,34,38,17,16,25,25,31,31,31,37,38,37,40,37,47,19,18,n/a,n/a,n/a,22,n/a,28,28,31,37,26,29,29,19,36
6/15/2018,31,23,25,n/a,n/a,24,30,56,40,34,30,n/a,39,n/a,20,n/a,36,n/a,30,27,20,n/a,44,37,35,26,n/a,n/a,24,n/a,26,34,24,33,34,16,19,22,22,29,n/a,31,37,38,39,43,43,53,12,23,n/a,n/a,n/a,23,15,29,32,26,36,n/a,19,27,19,38
6/16/2018,34,30,29,n/a,n/a,23,31,67,43,37,34,n/a,40,n/a,27,n/a,51,n/a,36,30,25,n/a,49,36,36,27,21,n/a,17,n/a,n/a,27,19,42,45,24,20,25,24,29,n/a,29,34,33,32,39,38,44,21,28,n/a,n/a,n/a,20,20,20,30,33,20,25,26,23,21,27
6/17/2018,29,29,24,n/a,n/a,23,30,49,43,33,28,n/a,41,n/a,n/a,n/a,29,n/a,25,18,20,n/a,47,39,29,n/a,26,n/a,21,n/a,n/a,27,18,61,52,33,19,28,36,25,n/a,27,44,36,27,21,18,21,23,48,n/a,n/a,n/a,27,28,24,27,45,27,24,28,25,20,12
6/18/2018,35,27,31,n/a,n/a,31,36,64,41,40,34,n/a,48,n/a,20,n/a,53,n/a,40,28,n/a,n/a,43,46,45,n/a,29,n/a,26,n/a,29,39,27,69,62,41,29,37,48,46,n/a,24,54,43,41,24,16,19,29,47,n/a,n/a,n/a,38,35,30,39,49,24,37,37,30,38,14
6/19/2018,38,39,34,n/a,n/a,32,39,101,53,43,43,n/a,54,n/a,32,n/a,39,n/a,48,24,n/a,n/a,60,38,44,37,34,n/a,33,n/a,38,43,34,55,63,33,24,31,38,34,18,25,49,40,48,31,17,19,23,25,n/a,n/a,n/a,37,36,38,34,33,38,n/a,39,29,28,13
6/20/2018,29,22,20,56,n/a,21,27,56,35,26,28,n/a,38,n/a,19,n/a,31,n/a,26,25,n/a,n/a,74,32,35,21,28,n/a,23,n/a,25,38,19,39,42,20,16,24,26,34,21,26,44,35,39,19,22,19,18,24,n/a,n/a,n/a,22,21,34,77,26,24,23,33,29,21,13
6/21/2018,n/a,27,25,30,n/a,25,32,58,39,30,31,n/a,44,n/a,19,n/a,44,n/a,35,28,28,43,50,36,38,20,33,n/a,27,n/a,30,51,28,29,36,11,11,19,24,30,32,34,39,31,40,19,28,36,n/a,15,n/a,n/a,n/a,15,12,24,42,29,30,19,21,26,24,21
6/22/2018,n/a,41,39,40,n/a,39,48,77,55,49,51,n/a,58,n/a,30,n/a,48,n/a,43,29,38,52,83,55,52,42,49,n/a,32,n/a,42,62,36,34,37,17,12,24,23,41,34,33,46,50,52,26,34,31,n/a,22,n/a,n/a,n/a,28,19,31,38,26,37,20,27,42,37,23
6/23/2018,n/a,54,43,45,n/a,44,50,81,59,56,56,n/a,66,n/a,43,n/a,65,n/a,52,36,43,63,79,72,48,53,56,n/a,41,n/a,47,65,42,28,38,16,12,22,19,40,42,45,50,58,65,26,19,28,n/a,18,n/a,n/a,n/a,20,15,41,31,25,43,20,26,54,44,23
6/24/2018,n/a,37,34,n/a,n/a,31,39,57,45,41,42,n/a,56,n/a,20,n/a,46,n/a,50,26,31,68,72,52,31,38,54,n/a,36,n/a,40,54,37,23,29,14,10,17,20,27,29,33,34,45,55,27,24,36,n/a,14,n/a,n/a,n/a,16,9,38,23,21,37,15,n/a,43,21,26
6/25/2018,n/a,25,20,n/a,n/a,18,27,50,34,28,27,n/a,44,n/a,15,n/a,40,n/a,33,22,23,45,83,42,26,27,38,n/a,24,n/a,25,57,21,31,40,14,12,19,21,34,23,33,34,34,36,23,24,22,n/a,17,n/a,n/a,n/a,20,15,27,21,27,31,16,n/a,33,18,19
6/26/2018,n/a,23,26,n/a,n/a,24,30,61,38,34,33,n/a,50,n/a,n/a,n/a,53,n/a,37,31,28,56,93,36,39,n/a,28,n/a,25,n/a,30,49,28,28,34,12,12,13,17,35,25,30,29,42,31,25,24,34,n/a,15,n/a,n/a,n/a,16,8,31,17,15,24,10,n/a,26,20,23
6/27/2018,n/a,28,28,n/a,n/a,27,29,69,43,37,34,n/a,52,n/a,n/a,n/a,n/a,n/a,47,31,16,64,85,29,39,36,13,n/a,19,n/a,23,23,26,22,25,n/a,14,12,16,25,24,29,36,37,22,27,32,30,n/a,12,n/a,n/a,n/a,12,8,n/a,17,12,19,13,19,26,16,21
6/28/2018,26,25,28,27,n/a,24,30,48,43,32,36,n/a,47,n/a,n/a,n/a,33,n/a,44,35,17,59,121,33,30,40,19,n/a,22,n/a,26,34,27,23,22,9,12,12,15,38,28,26,30,35,25,27,33,35,n/a,14,n/a,n/a,n/a,15,7,19,21,12,27,14,23,20,15,26
6/29/2018,33,33,34,35,n/a,25,37,67,43,41,43,n/a,48,n/a,29,n/a,40,n/a,35,23,16,56,74,32,28,34,25,n/a,20,n/a,19,44,22,25,28,9,10,8,n/a,27,27,27,34,35,30,26,32,40,n/a,13,n/a,n/a,n/a,15,7,22,36,19,28,15,n/a,27,12,21
6/30/2018,28,21,25,30,n/a,22,27,61,31,33,34,n/a,39,n/a,23,n/a,45,n/a,23,23,18,59,52,42,31,26,24,n/a,16,n/a,18,29,20,28,34,10,12,13,n/a,26,31,36,35,33,26,22,27,28,n/a,12,n/a,n/a,n/a,15,9,24,24,19,20,18,n/a,25,16,24
7/1/2018,23,18,20,n/a,n/a,16,22,60,42,25,27,n/a,37,n/a,n/a,n/a,43,n/a,28,17,14,48,67,32,25,24,22,n/a,19,n/a,16,30,14,26,34,13,11,12,14,23,24,30,34,31,16,30,29,31,n/a,n/a,n/a,n/a,n/a,12,11,20,22,20,21,22,21,20,18,21
